"08:30","00:30","09:00","","","","Registration (2nd floor) & Continental Breakfast (3rd floor)",""
"09:00","00:05","09:05","","","","Kickoff + Thank UIC, Sponsors",""
"09:05","00:20","09:25","Talk","Risk/Derivatives","Kris Boudt","Evolution of the Prudent Person Rule: Information from Pension Fund Disclosures","/archive/2025/KrisBoudt.pdf"
"09:25","00:20","09:45","Talk","Risk/Derivatives","Masoud Neshastehriz","Matrix Profile Enhanced Bayesian Online Change Point Detection for Bitcoin ETF Trading","/archive/2025/MasoudNeshastehriz.pdf"
"09:45","00:20","10:05","Talk","Risk/Derivatives","Oleg Bondarenko","Cross-Over Options","/archive/2025/OlegBondarenko.pdf"
"10:05","00:07","10:12","Lightning","Risk/Derivatives","Ilya Kipnis","Analyzing the Varadi Drawdown Adaptive Moving Average","/archive/2025/IlyaKipnis.pptx"
"10:12","00:07","10:19","Lightning","Risk/Derivatives","Gustavo Schwenkler","The Networks Of Firms Implied By The News","/archive/2025/GustavoSchwenkler.pdf"
"10:19","00:07","10:26","Lightning","Risk/Derivatives","Emmanuel Senyo Fianu","The Hard, Transition, and the Calm Times",""
"10:26","00:07","10:33","Lightning","Risk/Derivatives","Ryan Brown","Supplementing Covariance Matrices: An Application to Thematic Investing","/archive/2025/RyanBrown.pptx"
"10:33","00:17","10:50","","","","Break",""
"10:50","00:20","11:10","Talk","Stats/ML","Helena Ristov","AI Pattern Recognition and Deep Learning for Trading","/archive/2025/HelenaRistov.pdf"
"11:10","00:20","11:30","Talk","Stats/ML","Davide Pandini","From Regression to Neural Networks: Evaluating AI Models for Real-World Financial Trading Strategies","/archive/2025/DavidePandini.pdf"
"11:30","00:20","11:50","Talk","Stats/ML","Fred Viole","Partial Moments in QF","/archive/2025/FredViole.pdf"
"11:50","00:07","11:57","Lightning","Stats/ML","Joseph Atwood","Simulating Multivariate Variables Using Non-Parametric Smoothed Historical Data Procedures","/archive/2025/JosephAtwood.pdf"
"11:57","00:07","12:04","Lightning","Stats/ML","Laura Rose","Forecasting at a Digital Healthcare Tech Startup: A Time Series Framework",""
"12:04","00:07","12:11","Lightning","Stats/ML","James Horine","Tidyagronomy: An R package to Quantify Growing Degree Units","/archive/2025/JamesHorine.pdf"
"12:11","00:59","13:10","","","","Lunch",""
"13:10","00:20","13:30","Talk","Stats/ML","Lars Kothoff","mlr3 Pipelines","/archive/2025/LarsKothoff.pdf"
"13:30","00:20","13:50","Talk","Stats/ML","Killian Tattan","Signal Quantiling & Signal Combination in the Cross-Section","/archive/2025/KillianTattan.pptx"
"13:50","00:20","14:10","Talk","Stats/ML","Petri Fast","Build a Better Elastic Net Forecast With Custom Penalties","/archive/2025/PetriFast.pptx"
"14:10","00:20","14:30","Talk","Stats/ML","Thomas Harte","Parsing arbitrary FIX messages in Scala","/archive/2025/ThomasHarte.html"
"14:30","00:15","14:45","","","","Break",""
"14:45","00:07","14:52","Lightning","Strategies","Jason Foster","screen: Yahoo Finance Screener in R and Python","/archive/2025/JasonFoster.pdf"
"14:52","00:07","14:59","Lightning","Strategies","Richie Ma","cme.mdp: Analyzing CME Market Data in R","/archive/2025/RichieMa.pdf"
"14:59","00:07","15:06","Lightning","Strategies","Paul Teetor","Building Portfolios of Spreads","/archive/2025/PaulTeetor.pdf"
"15:06","00:07","15:13","Lightning","Strategies","Mark Bennett","Acceleration of Short Term Alpha Algorithmic Trading Simulations",""
"15:13","00:20","15:33","Talk","Strategies","Dan Wang","Strategy Backtesting in the Cloud","/archive/2025/DanWang.pptx"
"15:33","00:20","15:53","Talk","Strategies","Petra Bakosova","Micro-Alphas","/archive/2025/PetraBakosova.pptx"
"15:53","00:20","16:13","Talk","Strategies","Kyle Balkissoon","So You Want To Launch an ETF?",""
"16:13","00:15","16:28","","","","Break",""
"16:28","00:07","16:35","Lightning","Computing","Oliver Haynold","Make Literate Slides!","/archive/2025/OliverHaynold.pdf"
"16:35","00:07","16:42","Lightning","Computing","Michael Kane","Julia as a Compiler for R Packages","/archive/2025/MichaelKane.pdf"
"16:42","00:20","17:02","Talk","Computing","Steven Sklar","The Future of Fast Databases: Lessons from a Decade of QuestDB","/archive/2025/StevenSklar.pdf"
"17:02","00:20","17:22","Talk","Computing","Jeff Ryan","Jeff’s Grab Bag of Projects and Ideas",""
"17:22","00:08","17:30","","","","Thanks + Feedback URL + Tell Friends and Coworkers",""
"17:30","03:00","20:30","","","","Conference Reception at East Terrace",""
