"08:00","","09:00","","","Coffee/ Breakfast","",""
"09:00","","09:05","","","Kickoff","",""
"09:05","","09:35","Lightning","","Hsiu-lang Chen","Do Mutual Funds Exploit Information from Option Prices for Equity Investment?","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/HsiuLangChen.pptx"
"","","","Lightning","","Kyle Balkissoon","A Practitioners analysis of the overnight effect","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/KyleBalkissoon.pdf"
"","","","Lightning","","Mark Bennett","Measuring Income Statement Sharpe Ratios using R","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/MarkBennett.pdf"
"","","","Lightning","","Mark Bennett","Implementation of Value Strategies using R","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/DirkHugen.pdf"
"","","","Lightning","","Matt Brigida","Community Finance Teaching Resources with R/Shiny","https://micfm.shinyapps.io/2_R_Finance_Presentation/presentation.Rmd"
"09:35","","09:55","Talk","","Bernhard Pfaff","Portfolio Selection with Multiple Criteria Objectives","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/BernhardPfaff.pdf"
"09:55","","10:15","Talk","","Douglas Service","Quantitative Analysis of Dual Moving Average Indicators in Automated Trading Systems","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/DougService.pdf"
"10:15","","10:45","Lightning","","Marjan Wauters","Smart beta and portfolio insuranceA happy marriage?","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/MarjanWauters.pdf"
"","","","Lightning","","Michael Kapler","Tax Aware Backtest Framework","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/MichaelKapler.pdf"
"","","","Lightning","","Miller Zijie Zhu","Backtest Graphics","https://backtestgraphics.shinyapps.io/slides/"
"","","","Lightning","","Laura Vana","Portfolio Optimization Modeling","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/LauraVana.pdf"
"","","","Lightning","","Ilya Kipnis","Hypothesis Driven DevelopmentAn Understandable Example","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/IlyaKipnis.pptx"
"10:45","","11:05","","","Break","",""
"11:05","","11:25","Talk","","Mark Seligman","Controlling for Monotonicity in Random Forest Regressors","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/MarkSeligman.pdf"
"11:25","","11:45","Talk","","Michael Kane","glmnetlibA Low-level Library for Regularized Regression","http://slides.com/michaelkane/deck-13#/"
"11:45","","12:05","Talk","","Xiao Qiao","A Practitioner's Defense of Return Predictability","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/XiaoQiao.pdf"
"12:05","","13:05","","","Lunch","",""
"13:05","","13:45","Keynote","","Patrick Burns","Some Linguistics of Quantitative Finance","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/PatBurns.pdf"
"13:45","","14:05","Talk","","Eran Raviv","Forecast combinations in R using the ForecastCombinations package","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/EranRaviv.pdf"
"14:05","","14:35","Lightning","","Kjell Konis","Comparing Fitted Factor Models with the fit.models Package","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/KjellKonis.pdf"
"","","","Lightning","","Steven Pav","Madnessa package for Multivariate Automatic Differentiation","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/StevenPav.pdf"
"","","","Lightning","","Paul Teetor","Are You Trading Mean Reversion or Oscillation?","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/PaulTeetor.pdf"
"","","","Lightning","","Pedro Alexander","Portfolio Selection with Support Vector Regression","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/PedroAlexander.ppt"
"","","","Lightning","","Matthew Dixon","Seasonally-Adjusted Value-at-Risk","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/MatthewDixon.pdf"
"14:35","","15:05","","","Break","",""
"15:05","","15:25","Talk","","Bryan Lewis","R in Practice","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/BryanLewis.html"
"15:25","","15:45","Talk","","Matt Dziubinski","Getting the most out of RcppHigh-Performance C++ in Practice","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/MattDziubinski.pdf"
"15:45","","15:57","Lightning","","Mario Annau","h5 - An Object Oriented Interface to HDF5","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/MarioAnnau.pdf"
"","","","Lightning","","Dirk Eddelbuettel","Rblapi RevisitedOne Year Later","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/DirkEddelbuettel.pdf"
"15:57","","16:17","Talk","","Jason Foster","Multi-Asset Principal Component Regression using RcppParallel","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/JasonFoster.pdf"
"16:17","","16:37","Talk","","Qiang Kou","Deep learning in R using MxNet","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2016/talk/QiangKou.pdf"
"16:37","","16:49","","","Prizes and Feedback","",""
"16:49","","16:54","","","Conclusion","",""
"16:54","","17:04","","","Transition to Jak's","",""
"17:04","","","","","Post-conference Drinks at Jak's Tap","",""
