"08:00","","09:00","","","Coffee/ Breakfast","",""
"09:00","","09:05","","","Kickoff","",""
"09:05","","09:35","Lightning","","Ilya Kipnis","A Primer on Volatility ETN Trading Strategies","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/IlyaKipnis.pptx"
"","","","Lightning","","Matt Dancho","A Time Series Platform For The Tidyverse","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/MattDancho.pptx"
"","","","Lightning","","Carson Sievert","Building reactive web applications for finance with dash for R",""
"","","","Lightning","","Michael Kapler","Interactively Exploring Seasonality Patterns in R","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/MichaelKapler.pdf"
"","","","Lightning","","Bernhard Pfaff","The R Package rbtcImplementation of the Core Bitcoin's API","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/BernhardPfaff.pdf"
"09:35","","09:55","Talk","","Eran Raviv","Forecast Combinations in R using the ForecastComb Package","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/EranRaviv/#/"
"09:55","","10:15","Talk","","Leopoldo Catania","Predicting Cryptocurrencies Time-Series","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/LeopoldoCantania.pdf"
"10:15","","10:35","","","Break","",""
"10:35","","10:55","Talk","","Guanhao Feng","Deep Learning Alpha","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/GuanhaoFeng.pdf"
"10:55","","11:15","Talk","","Xiao Qiao","Correlated Idiosyncratic Volatility Shocks","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/XiaoQiao.pdf"
"11:15","","12:05","Keynote","","Li Deng","AI In Finance","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/LiDeng.pptx"
"12:05","","12:35","Lightning","","Keven Bluteau","Abnormal Tone and Abnormal ReturnsAn Event Study Analysis","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/KevenBluteau.pdf"
"","","","Lightning","","Samuel Borms","The R Package sentometrics to Compute, Aggregate and Predict with Textual Sentiment","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/SamuelBorns.pdf"
"","","","Lightning","","Kyle Balkissoon","Weather and Text Data for Investment Research","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/KyleBalkissoon.pdf"
"","","","Lightning","","Petra Bakosova","Seasonal Effect, Trends and Pre-Announcement DriftsFrom Anomalies to Trades","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/PetraBakosova.pdf"
"","","","Lightning","","Che Guan","Machine Learning Application in Digital Currency Price Prediction","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/CheGuan.pdf"
"12:35","","13:40","","","Lunch","",""
"13:40","","14:00","Talk","","David Ardia","Questioning the News about Economic GrowthSparse Forecasting Using Thousands of News-based Sentiment Values",""
"14:00","","14:20","Talk","","Dries Cornilly","The rTrawl Package for Modeling High Frequency Financial Time Series","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/DriesCornilly.pptx"
"14:20","","14:40","Talk","","Luis Damiano","Hierarchical Hidden Markov Models in High-Frequency Stock Markets","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/LuisDamiano.pdf"
"14:40","","15:10","Lightning","","Phillip Guerra","A Practitioner's Defense of the Use of Auto-Trading Algorithms","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/PhillipGuerra.pdf"
"","","","Lightning","","Krishna Kumar","Genetic Programming Applied to FX Trading",""
"","","","Lightning","","Bryan Lewis","A Funny Thing Happened on the Way to the Banach Space",""
"","","","Lightning","","Pedro Albuquergue","Conditional Autoregressive Value-at-Riskall flavors of CAViaR","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/PedroAlbuquerque.pdf"
"","","","Lightning","","Angela Li and Soumya Kalra","R-Ladies on Diversity","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/SoumyaKalra.pptx"
"15:10","","15:30","Talk","","Stephen Rush","Currency Risk and Information Diffusion","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/StephenRush.pdf"
"15:30","","15:50","","","Break","",""
"15:50","","16:10","Talk","","Jasen Mackie","Round Turn Trade Simulation","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/JasenMackie.html"
"16:10","","16:30","Talk","","Thomas Harte","Trading the UntradablePricing Derivatives When Prices Are Not Observable","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2018/ThomasHarte.pdf"
"16:30","","16:50","","","Conclusion","",""
"16:50","","17:05","","","Transition to Cruz Blanca","",""
"17:05","","21:20","","","Post-conference Reception at Cruz Blanca","",""
