"08:00","","09:00","","","Optional Pre-Conference Tutorials","",""
"","","","Tutorial","","Ross Bennett","Complex Portfolio Optimization with PortfolioAnalytics","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/workshop/RossBennett.pdf"
"","","","Tutorial","","Yi-An Chen","Estimating Factor Models and Managing Risk with FactorAnalytics","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/workshop/YiAnChen.pdf"
"","","","Tutorial","","Matt Dowle","Introduction to data.table","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/workshop/MatthewDowle.pdf"
"","","","Tutorial","","Dirk Eddelbuettel","An Example-Driven Hands-on Introduction to Rcpp","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/workshop/DirkEddelbuettel.pdf"
"09:00","","09:30","","","Registration (2nd floor Inner Circle) & Continental Breakfast (3rd floor by Sponsor Tables)","",""
"","","","","","Transition between seminars","",""
"09:30","","09:35","","","Kickoff","",""
"09:35","","09:40","","","Sponsor Introduction","",""
"09:40","","10:30","Keynote","","Luke Tierney","Some Performance Improvements for the R Engine","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/LukeTierney.pdf"
"10:30","","11:00","Lightning","","Karl Polen","Private Equity Performance Analytics Implemented in R","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/KarlPolen.pdf"
"","","","Lightning","","Mark Bennett","Data Mining with Markowitz Portfolio Optimization in Higher Dimensions","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/MarkBennett.pdf"
"","","","Lightning","","John Burkett","Portfolio OptimizationUtility, Computaton, Equities Applications","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/JohnBurkett.pdf"
"","","","Lightning","","Yang Lu","Re-Evaluation of the Low-Risk Anomaly in Finance via Matching","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/YangLu.pdf"
"","","","Lightning","","Maria Belianina","Multi-Factor Models and Analytics with R, OneTick, and OneQuantData","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/MariaBelianina.pdf"
"11:00","","11:30","","","Break","",""
"11:30","","11:50","Talk","","Avery Moon","Tax Efficient Portfolios","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/AveryMoon.pdf"
"11:50","","12:10","Talk","","Steven Pav","Portfolio Inference with this One Weird Trick","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/StevenPav.pdf"
"12:10","","12:30","Talk","","Tobias Setz","BCP Stability AnalyticsNew Directions in Tactical Asset Management","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/TobiasSetz.pdf"
"12:30","","13:40","","","Lunch","",""
"13:40","","14:10","Lightning","","Paul Teetor","Bootstrapping Seasonal Spreads","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/PaulTeetor.pdf"
"","","","Lightning","","Matthew Clegg","On the Persistence of Cointegration in Pairs Trading","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/MatthewClegg.pdf"
"","","","Lightning","","Kent Hoxsey","Exploring Trading System Expectation","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/KentHoxsey.pdf"
"","","","Lightning","","Doug Martin","Tests for Robust versus Least Squares Factor Model Fits","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/DouglasMartin.pptx"
"","","","Lightning","","Bernhard Pfaff","The R package cccpSolving Cone Constrained Convex Programs","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/BernhardPfaff.pdf"
"14:10","","14:30","Talk","","Matthew Barry","Package pboProbability of Backtest Overfitting","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/MatthewBarry.pdf"
"14:30","","15:20","Keynote","","Alexios Ghalanos","Twinkle, twinkle little STARSmooth Transition AR Models in R","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/AlexiosGhalanos.pdf"
"15:20","","15:45","","","Break","",""
"15:45","","15:51","Lightning","","Michael Kapler","Average Correlation and Adaptive Shrinkage Estimators","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/MichaelKapler.pdf"
"15:51","","16:11","Talk","","Steven Greiner","Stress Testing your way to Better Portfolio Management","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/StevenGreiner.pptx"
"16:11","","16:31","Talk","","Kris Boudt","Asset Allocation with Higher Order Moments and Factor Models","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/KrisBoudt.pdf"
"16:31","","16:51","Talk","","Marcello Colasante","Quantitative Portfolios, Trading Strategies via Factor Entropy Pooling","https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2014/talk/MarcelloColasante.pptx"
"16:51","","17:00","","","Information about reception and dinner","",""
"17:00","","19:00","","","Conference Reception","",""
"19:00","","","","","Optional Conference Dinner (The Terrace at The Trump)","",""
